station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2,source_file
ANK2,G05,20,1342.3841341434932,-22.21375820873097,2.245688791470182,0.3136984737926533,-1.9319903176775288,34.360491419301376,-42.37292115914212,76.7334125784435,0.9797397234290044,phase31_ANK2_summary.csv
ANK2,G06,22,1194.6591159956852,-19.788705243326252,1.8179640666488863,0.3177582955294079,-1.5002057711194787,28.299558130573477,-46.44442753497167,74.74398566554514,0.968740700206948,phase31_ANK2_summary.csv
ANK2,G07,12,1227.8549416763835,-20.18232609152093,2.3876061464663367,0.4113355036184333,-1.9762706428479035,22.88699003929714,-17.32030608749549,40.20729612679263,0.9690434594849532,phase31_ANK2_summary.csv
ANK2,G08,20,1225.009276247383,-20.15889287830832,1.8522930051672428,0.3190373188606842,-1.5332556863065587,26.65697335374339,-41.697887840626095,68.35486119436948,0.9691319066030826,phase31_ANK2_summary.csv
ANK2,G09,16,1374.8967416240596,-22.62933356592781,3.136393996220583,0.4783824402714742,-2.6580115559491087,38.57835939668742,-19.59503302840065,58.17339242508807,0.9728563955381084,phase31_ANK2_summary.csv
ANK2,G10,14,1007.87476562557,-16.699391930679777,1.470408620510012,0.1162102840376284,-1.3541983364723835,12.795129388381335,-56.26591019609712,69.06103958447846,0.986951310147572,phase31_ANK2_summary.csv
ANK2,G11,17,1276.128822081937,-21.083458911829013,2.359815605807442,0.3763960279622641,-1.983419577845178,31.191838416985917,-29.22185641703566,60.41369483402157,0.9722013816752112,phase31_ANK2_summary.csv
ANK2,G12,12,1184.3964681917475,-19.4513052375664,1.9490675374653816,0.3274760184498508,-1.6215915190155308,18.016425735034908,-22.792170864687648,40.80859659972256,0.9708858367254216,phase31_ANK2_summary.csv
ANK2,G13,15,1322.5112025897602,-21.64762861259213,2.154754214086284,0.4117617357118177,-1.742992478374466,25.03029989788448,-22.619312248946557,47.64961214683103,0.9622351955579131,phase31_ANK2_summary.csv
ANK2,G14,12,1072.4529217957445,-17.736999644563166,1.5525741278108598,0.1687990829024101,-1.3837750449084496,12.557942745627756,-38.6971071170632,51.25504986269096,0.9876025114364624,phase31_ANK2_summary.csv
ANK2,G15,17,1157.1526411098023,-18.976977091326763,1.7715079153174642,0.1557969251325687,-1.6157109901848954,21.442257857558925,-59.21286397886968,80.6551218364286,0.9902551032836312,phase31_ANK2_summary.csv
ANK2,G16,20,1349.5307291601528,-22.14673618217637,2.690360359205586,0.4708381020937338,-2.219522257111852,41.58700588686107,-26.12963905361074,67.71664494047181,0.9686202047340928,phase31_ANK2_summary.csv
ANK2,G17,17,1110.1918018153387,-18.30865055104253,1.6052697365642612,0.2251027511307825,-1.3801669854334786,18.091921289287416,-46.70074251715649,64.79266380644391,0.9760546385237724,phase31_ANK2_summary.csv
ANK2,G18,20,942.7786548089628,-15.766373380125142,1.0861922655181406,0.0909721665017282,-0.9952200990164124,5.307129836558093,-91.88806727476674,97.19519711132484,0.988298993983061,phase31_ANK2_summary.csv
ANK2,G19,14,1154.7211966413113,-19.09343829793714,1.7981691831452589,0.2436990878725843,-1.5544700952726749,18.42953275065805,-35.530989713234135,53.96052246389219,0.9814298213127524,phase31_ANK2_summary.csv
ANK2,G20,15,1209.7263283848592,-20.059056778333368,1.6827514318856656,0.2840186053870192,-1.3987328264986465,17.612906324850336,-33.76146593121859,51.37437225606892,0.9714203887453364,phase31_ANK2_summary.csv
ANK2,G21,18,1132.2098203252372,-18.62977863241012,1.7944768747741622,0.2059039672320653,-1.588572907542097,23.04968761275328,-52.89243430541532,75.9421219181686,0.9861176110267922,phase31_ANK2_summary.csv
ANK2,G22,15,911.079700554948,-15.249390353841184,1.1782654437852975,0.0617907331833561,-1.1164747106019417,6.921301823851217,-79.52005622753819,86.44135805138941,0.9944119588072295,phase31_ANK2_summary.csv
ANK2,G23,19,1117.434057370545,-18.484885084620217,1.614773794270127,0.2617346412796388,-1.3530391529904882,20.209405493090657,-46.93611610448254,67.1455215975732,0.9734568368184544,phase31_ANK2_summary.csv
ANK2,G24,18,1370.5594700693216,-22.37162098736999,3.701106257724282,0.4280428160644309,-3.2730634416598514,49.11074348730077,-26.54715383132157,75.65789731862235,0.9835578607801444,phase31_ANK2_summary.csv
ANK2,G25,22,1284.6230888501748,-21.21162658123372,2.2694679994212867,0.4217944229788369,-1.84767357644245,38.05999947166963,-33.9824382511712,72.04243772284082,0.964114738063944,phase31_ANK2_summary.csv
ANK2,G26,16,1043.9746590397751,-17.29276216469085,1.4328498854548108,0.1315950899367289,-1.3012547955180818,13.509292413409003,-60.89681828154089,74.40611069494989,0.9886245905927292,phase31_ANK2_summary.csv
ANK2,G27,11,1084.4043360200112,-18.007191263458505,1.413576381564752,0.1765957725152783,-1.2369806090494735,9.614704545342573,-34.145622444399415,43.76032698974198,0.9843606980039894,phase31_ANK2_summary.csv
ANK2,G28,13,1033.8025842337656,-17.154844438871034,1.374289578984675,0.1673538836499334,-1.2069356953347414,10.266360122003324,-42.478760765896055,52.74512088789938,0.9836945823428256,phase31_ANK2_summary.csv
ANK2,G29,20,1044.4197552030332,-17.346207368380153,1.3252414225602522,0.1783818797708421,-1.1468595427894102,13.263785941863706,-64.95314539144535,78.21693133330905,0.9801812083002056,phase31_ANK2_summary.csv
ANK2,G30,14,1141.7668721467803,-18.834336313297467,1.7559041425498838,0.2657908335564178,-1.490113308993466,17.763549345538234,-33.10127734715868,50.86482669269691,0.9767249200428224,phase31_ANK2_summary.csv
ANK2,G31,11,1088.4228152646342,-17.9870370782129,1.5579721260459785,0.2037605928458505,-1.354211533200128,11.754471241510016,-30.997809853271782,42.7522810947818,0.98082355750058,phase31_ANK2_summary.csv
ANK2,G32,17,1040.2501141044656,-17.271149340340088,1.3584720152835543,0.1596479129719797,-1.1988241023115744,12.416258698450449,-58.382670702554,70.79892940100444,0.9860782697193976,phase31_ANK2_summary.csv
MIZU,G01,50,-5.6051254223369626e-14,9.504899928015216e-16,3.7155169009665004e-16,3.6361671613848956e-16,-7.93497395816048e-18,-3550.884368052658,-3551.0431338668027,0.1587658141447718,0.0417089377842997,phase31_MIZU_summary.csv
MIZU,G15,50,-1.8288993203550097e-14,3.6390603574878663e-16,4.945168153041044e-16,4.910731498198227e-16,-3.443665484281654e-18,-3522.295051874873,-3520.993857589181,-1.301194285692418,0.0022926225905376,phase31_MIZU_summary.csv
