time_utc,et,L_km,L_m,L_AU
1979-03-05 10:22:00,-657250629.8145592,373861.98333349917,373861983.3334992,0.0024991129992968488
1979-03-05 10:23:00,-657250569.8145592,373398.11517722165,373398115.17722166,0.002496012232192966
1979-03-05 10:24:00,-657250509.8145592,372938.0633643991,372938063.3643991,0.0024929369757693957
1979-03-05 10:25:00,-657250449.8145592,372481.84608047525,372481846.0804753,0.0024898873515883223
1979-03-05 10:26:00,-657250389.8145592,372029.48145760247,372029481.45760244,0.002486863480855697
1979-03-05 10:27:00,-657250329.8145592,371580.9875726705,371580987.5726705,0.002483865484408065
1979-03-05 10:28:00,-657250269.8145592,371136.38243970176,371136382.43970174,0.0024808934826617275
1979-03-05 10:29:00,-657250209.8145592,370695.6840186577,370695684.01865774,0.002477947595671612
1979-03-05 10:30:00,-657250149.8145592,370258.91020033334,370258910.20033336,0.0024750279430302974
1979-03-05 10:31:00,-657250089.8145592,369826.0788159069,369826078.8159069,0.0024721346439318466
1979-03-05 10:32:00,-657250029.8145592,369397.2076207594,369397207.62075937,0.002469267817063652
1979-03-05 10:33:00,-657249969.8145592,368972.3143063478,368972314.3063478,0.0024664275806857983
1979-03-05 10:34:00,-657249909.8145592,368551.4164854135,368551416.4854135,0.00246361405253219
1979-03-05 10:35:00,-657249849.8145592,368134.5316940483,368134531.69404835,0.0024608273498243605
1979-03-05 10:36:00,-657249789.8145592,367721.67739121785,367721677.3912178,0.002458067589268287
1979-03-05 10:37:00,-657249729.8145592,367312.8709513653,367312870.9513653,0.0024553348870049478
1979-03-05 10:38:00,-657249669.8145592,366908.1296666338,366908129.6666338,0.002452629358625181
1979-03-05 10:39:00,-657249609.8145592,366507.4707390051,366507470.7390051,0.0024499511191171325
1979-03-05 10:40:00,-657249549.8145592,366110.91128211893,366110911.2821189,0.0024473002828784176
1979-03-05 10:41:00,-657249489.8145592,365718.46831186255,365718468.3118625,0.0024446769636532173
1979-03-05 10:42:00,-657249429.8145592,365330.15875768015,365330158.7576802,0.0024420812746078755
1979-03-05 10:43:00,-657249369.8145592,364945.9994406067,364945999.4406067,0.002439513328184067
1979-03-05 10:44:00,-657249309.8145592,364566.0070822975,364566007.0822975,0.0024369732361591533
1979-03-05 10:45:00,-657249249.8145592,364190.19830471784,364190198.30471784,0.0024344611096441086
1979-03-05 10:46:00,-657249189.8145592,363818.5896152489,363818589.6152489,0.0024319770589839615
1979-03-05 10:47:00,-657249129.8145592,363451.19741640403,363451197.416404,0.002429521193822741
1979-03-05 10:48:00,-657249069.8145592,363088.03799478745,363088037.99478745,0.0024270936230296725
1979-03-05 10:49:00,-657249009.8145592,362729.12752362347,362729127.52362347,0.0024246944547160823
1979-03-05 10:50:00,-657248949.8145592,362374.4820576718,362374482.05767184,0.002422323796201411
1979-03-05 10:51:00,-657248889.8145592,362024.1175251583,362024117.5251583,0.0024199817539592716
1979-03-05 10:52:00,-657248829.8145592,361678.04973727145,361678049.7372714,0.0024176684336809314
1979-03-05 10:53:00,-657248769.8145592,361336.29437066516,361336294.37066513,0.002415383940158349
1979-03-05 10:54:00,-657248709.8145592,360998.8669790194,360998866.9790194,0.002413128377361453
1979-03-05 10:55:00,-657248649.8145592,360665.7829760586,360665782.9760586,0.0024109018483246276
1979-03-05 10:56:00,-657248589.8145592,360337.0576446974,360337057.64469737,0.002408704455207847
1979-03-05 10:57:00,-657248529.8145592,360012.7061265993,360012706.12659925,0.00240653629922688
1979-03-05 10:58:00,-657248469.8145592,359692.743424297,359692743.42429703,0.002404397480667464
1979-03-05 10:59:00,-657248409.8145592,359377.18439575104,359377184.39575106,0.00240228809884893
1979-03-05 11:00:00,-657248349.8145592,359066.0437479856,359066043.7479856,0.0024002082520816633
1979-03-05 11:01:00,-657248289.8145592,358759.3360421948,358759336.0421948,0.0023981580377012333
1979-03-05 11:02:00,-657248229.8145592,358457.0756845034,358457075.68450344,0.0023961375520066375
1979-03-05 11:03:00,-657248169.8145592,358159.2769280212,358159276.92802125,0.0023941468902740288
1979-03-05 11:04:00,-657248109.8145592,357865.9538675373,357865953.8675373,0.0023921861467212538
1979-03-05 11:05:00,-657248049.8145592,357577.12043209025,357577120.4320902,0.002390255414458184
1979-03-05 11:06:00,-657247989.8145592,357292.7903937413,357292790.39374125,0.002388354785545362
1979-03-05 11:07:00,-657247929.8145592,357012.977349217,357012977.349217,0.0023864843508712924
1979-03-05 11:08:00,-657247869.8145592,356737.69473699713,356737694.7369971,0.002384644200266663
1979-03-05 11:09:00,-657247809.8145592,356466.95581252396,356466955.81252396,0.0023828344223386327
1979-03-05 11:10:00,-657247749.8145592,356200.77366527426,356200773.66527426,0.0023810551045849496
1979-03-05 11:11:00,-657247689.8145592,355939.16120298527,355939161.2029853,0.0023793063332885078
1979-03-05 11:12:00,-657247629.8145592,355682.1311537979,355682131.1537979,0.002377588193531674
1979-03-05 11:13:00,-657247569.8145592,355429.69606463175,355429696.06463176,0.0023759007691854252
1979-03-05 11:14:00,-657247509.8145592,355181.86829611653,355181868.29611653,0.0023742441428754677
1979-03-05 11:15:00,-657247449.8145592,354938.66002027754,354938660.02027756,0.0023726183959667654
1979-03-05 11:16:00,-657247389.8145592,354700.08321917057,354700083.2191706,0.0023710236085544138
1979-03-05 11:17:00,-657247329.8145592,354466.14968604344,354466149.68604344,0.0023694598594714055
1979-03-05 11:18:00,-657247269.8145592,354236.8710126273,354236871.0126273,0.002367927226203677
1979-03-05 11:19:00,-657247209.8145592,354012.25859485974,354012258.5948597,0.0023664257849283664
1979-03-05 11:20:00,-657247149.8145592,353792.3236308555,353792323.6308555,0.002364955610500247
1979-03-05 11:21:00,-657247089.8145592,353577.0771132554,353577077.1132554,0.0023635167764005844
1979-03-05 11:22:00,-657247029.8145592,353366.52983236854,353366529.83236855,0.0023621093547581394
1979-03-05 11:23:00,-657246969.8145592,353160.6923687331,353160692.3687331,0.002360733416299442
1979-03-05 11:24:00,-657246909.8145592,352959.5750934303,352959575.0934303,0.0023593890303508867
1979-03-05 11:25:00,-657246849.8145592,352763.18816575705,352763188.16575706,0.00235807626482318
1979-03-05 11:26:00,-657246789.8145592,352571.5415319588,352571541.5319588,0.002356795186202866
1979-03-05 11:27:00,-657246729.8145592,352384.6449193148,352384644.91931474,0.0023555458595127905
1979-03-05 11:28:00,-657246669.8145592,352202.5078411139,352202507.8411139,0.0023543283483453614
1979-03-05 11:29:00,-657246609.8145592,352025.1395873627,352025139.5873627,0.002353142714800437
1979-03-05 11:30:00,-657246549.8145592,351852.5492223922,351852549.2223922,0.0023519890194693273
1979-03-05 11:31:00,-657246489.8145592,351684.74558979657,351684745.58979654,0.002350867321467809
1979-03-05 11:32:00,-657246429.8145592,351521.7373051132,351521737.3051132,0.002349777678387191
1979-03-05 11:33:00,-657246369.8145592,351363.532754602,351363532.754602,0.00234872014628616
1979-03-05 11:34:00,-657246309.8145592,351210.1400957341,351210140.0957341,0.002347694779694041
1979-03-05 11:35:00,-657246249.8145592,351061.5672541587,351061567.25415874,0.0023467016315905274
1979-03-05 11:36:00,-657246189.8145592,350917.8219155839,350917821.9155839,0.002345740753351404
1979-03-05 11:37:00,-657246129.8145592,350778.91153449926,350778911.5344993,0.0023448121948068563
1979-03-05 11:38:00,-657246069.8145592,350644.84332830575,350644843.3283058,0.0023439160042022294
1979-03-05 11:39:00,-657246009.8145592,350515.62427320215,350515624.2732021,0.0023430522281705324
1979-03-05 11:40:00,-657245949.8145592,350391.2611025593,350391261.10255927,0.0023422209117215684
1979-03-05 11:41:00,-657245889.8145592,350271.76031218935,350271760.31218934,0.002341422098277161
1979-03-05 11:42:00,-657245829.8145592,350157.12814893405,350157128.14893407,0.0023406558295948664
1979-03-05 11:43:00,-657245769.8145592,350047.3706159156,350047370.61591566,0.0023399221458030796
1979-03-05 11:44:00,-657245709.8145592,349942.4934705031,349942493.4705031,0.002339221085387435
1979-03-05 11:45:00,-657245649.8145592,349842.50221941626,349842502.21941626,0.0023385526851580803
1979-03-05 11:46:00,-657245589.8145592,349747.40212379,349747402.12379,0.0023379169802835303
1979-03-05 11:47:00,-657245529.8145592,349657.1981878713,349657198.18787134,0.0023373140042151105
1979-03-05 11:48:00,-657245469.8145592,349571.89517053904,349571895.170539,0.0023367437887639605
1979-03-05 11:49:00,-657245409.8145592,349491.49757089256,349491497.5708926,0.002336206364004702
1979-03-05 11:50:00,-657245349.8145592,349416.00964240346,349416009.6424035,0.0023357017583700373
1979-03-05 11:51:00,-657245289.8145592,349345.4353730518,349345435.37305176,0.0023352299985179657
1979-03-05 11:52:00,-657245229.8145592,349279.77850338566,349279778.50338566,0.002334791109452507
1979-03-05 11:53:00,-657245169.8145592,349219.0425133804,349219042.5133804,0.0023343851144358597
1979-03-05 11:54:00,-657245109.8145592,349163.2306253158,349163230.6253158,0.0023340120350076334
1979-03-05 11:55:00,-657245049.8145592,349112.3458030416,349112345.8030416,0.0023336718909799403
1979-03-05 11:56:00,-657244989.8145592,349066.3907496334,349066390.74963343,0.002333364700421725
1979-03-05 11:57:00,-657244929.8145592,349025.3679124855,349025367.9124855,0.002333090479692807
1979-03-05 11:58:00,-657244869.8145592,348989.27947422606,348989279.47422606,0.0023328492433831553
1979-03-05 11:59:00,-657244809.8145592,348958.12735677185,348958127.3567718,0.002332641004339989
1979-03-05 12:00:00,-657244749.8145592,348931.9132240931,348931913.2240931,0.0023324657736862636
1979-03-05 12:01:00,-657244689.8145592,348910.6384766074,348910638.4766074,0.002332323560783191
1979-03-05 12:02:00,-657244629.8145592,348894.3042483913,348894304.24839133,0.0023322143732116057
1979-03-05 12:03:00,-657244569.8145592,348882.9114182016,348882911.41820157,0.002332138216845633
1979-03-05 12:04:00,-657244509.8145592,348876.46059616253,348876460.59616256,0.002332095095763703
1979-03-05 12:05:00,-657244449.8145592,348874.9521324933,348874952.1324933,0.0023320850123068853
1979-03-05 12:06:00,-657244389.8145592,348878.38611522294,348878386.11522293,0.002332107967063618
1979-03-05 12:07:00,-657244329.8145592,348886.76236665784,348886762.36665785,0.0023321639588460927
1979-03-05 12:08:00,-657244269.8145592,348900.0804482593,348900080.4482593,0.002332252984722859
1979-03-05 12:09:00,-657244209.8145592,348918.33965765376,348918339.65765375,0.00233237503999884
1979-03-05 12:10:00,-657244149.8145592,348941.53903239395,348941539.03239393,0.0023325301182404727
1979-03-05 12:11:00,-657244089.8145592,348969.67734395695,348969677.34395695,0.0023327182112355895
1979-03-05 12:12:00,-657244029.8145592,349002.75310423103,349002753.104231,0.0023329393090367767
1979-03-05 12:13:00,-657243969.8145592,349040.7645622964,349040764.5622964,0.002333193399939859
1979-03-05 12:14:00,-657243909.8145592,349083.70970691234,349083709.70691234,0.002333480470500523
1979-03-05 12:15:00,-657243849.8145592,349131.58626548864,349131586.2654886,0.0023338005055274402
1979-03-05 12:16:00,-657243789.8145592,349184.39170568244,349184391.70568246,0.0023341534880929457
1979-03-05 12:17:00,-657243729.8145592,349242.12323471,349242123.23471004,0.002334539399528432
1979-03-05 12:18:00,-657243669.8145592,349304.7778021912,349304777.8021912,0.0023349582194433682
1979-03-05 12:19:00,-657243609.8145592,349372.3520971379,349372352.09713787,0.0023354099257051654
1979-03-05 12:20:00,-657243549.8145592,349444.8425541041,349444842.5541041,0.002335894494480289
1979-03-05 12:21:00,-657243489.8145592,349522.24534987216,349522245.3498722,0.0023364119002121076
1979-03-05 12:22:00,-657243429.8145592,349604.5564031345,349604556.40313447,0.002336962115618765
