time_utc,et,L_km,L_m,L_AU,dt_res,v_km_s
1986-01-24 03:41:00,-439805884.8154153,2677076130.216576,2677076130216.576,17.895148625377967,8.19386269426652,25.300610788663228
1986-01-24 03:42:00,-439805824.8154153,2677077648.272431,2677077648272.4307,17.895158772954588,8.193863720504586,25.30093091328939
1986-01-24 03:43:00,-439805764.8154153,2677079166.347534,2677079166347.534,17.895168920659874,8.193864746755237,25.30125172138214
1986-01-24 03:44:00,-439805704.8154153,2677080684.4419165,2677080684441.9165,17.89517906849403,8.193865773018489,25.301573038101196
1986-01-24 03:45:00,-439805644.8154153,2677082202.5556126,2677082202555.613,17.895189216457297,8.193866799294371,25.30189493497213
1986-01-24 03:46:00,-439805584.8154153,2677083720.6886578,2677083720688.6577,17.8951993645499,8.193867825582904,25.30221741994222
1986-01-24 03:47:00,-439805524.8154153,2677085238.8410883,2677085238841.0884,17.895209512772087,8.193868851884115,25.302540508906045
1986-01-24 03:48:00,-439805464.8154153,2677086757.012938,2677086757012.938,17.89521966112408,8.193869878198026,25.302864162127175
1986-01-24 03:49:00,-439805404.8154153,2677088275.2042403,2677088275204.24,17.89522980960611,8.193870904524655,25.303188371658326
1986-01-24 03:50:00,-439805344.8154153,2677089793.415033,2677089793415.0327,17.895239958218422,8.193871930864033,25.303513209025066
1986-01-24 03:51:00,-439805284.8154153,2677091311.64535,2677091311645.35,17.89525010696125,8.193872957216183,25.303838618596394
1986-01-24 03:52:00,-439805224.8154153,2677092829.8952265,2677092829895.2266,17.895260255834824,8.193873983581124,25.3041646083196
1986-01-24 03:53:00,-439805164.8154153,2677094348.1646976,2677094348164.6978,17.895270404839376,8.193875009958886,25.304491186141966
1986-01-24 03:54:00,-439805104.8154153,2677095866.453801,2677095866453.8013,17.895280553975166,8.193876036349486,25.304818391799927
1986-01-24 03:55:00,-439805044.8154153,2677097384.76257,2677097384762.57,17.89529070324241,8.193877062752955,25.30514614582062
1986-01-24 03:56:00,-439804984.8154153,2677098903.091041,2677098903091.041,17.895300852641356,8.193878089169312,25.305474519729614
1986-01-24 03:57:00,-439804924.8154153,2677100421.439249,2677100421439.249,17.895311002172235,8.193879115598588,25.3058034658432
1986-01-24 03:58:00,-439804864.8154153,2677101939.807232,2677101939807.232,17.895321151835297,8.193880142040797,25.306133047739664
1986-01-24 03:59:00,-439804804.8154153,2677103458.1950235,2677103458195.0234,17.895331301630776,8.193881168495974,25.306463193893432
1986-01-24 04:00:00,-439804744.8154153,2677104976.6026626,2677104976602.6626,17.895341451558927,8.193882194964138,25.306793983777364
1986-01-24 04:01:00,-439804684.8154153,2677106495.0301824,2677106495030.182,17.89535160161997,8.19388322144531,25.307125329971313
1986-01-24 04:02:00,-439804624.8154153,2677108013.477621,2677108013477.621,17.895361751814168,8.19388424793952,25.30745731194814
1986-01-24 04:03:00,-439804564.8154153,2677109531.945014,2677109531945.014,17.895371902141747,8.19388527444679,25.307789882024128
1986-01-24 04:04:00,-439804504.8154153,2677111050.4323983,2677111050432.3984,17.89538205260296,8.193886300967147,25.308123071988422
1986-01-24 04:05:00,-439804444.8154153,2677112568.9398108,2677112568939.8105,17.895392203198057,8.193887327500615,25.30845687389374
