model,Om_m0,n_TF,C_best,chi2_SN,chi2_BAO,chi2_tot,dof
TFGR,0.21500000000000002,-0.72,-19.442784477002277,1206.8282589971157,33.1041032787832,1239.9323622758989,1059
TFGR,0.21500000000000002,-0.7000000000000001,-19.441236494606056,1201.5265647064266,32.73554494989121,1234.2621096563178,1059
TFGR,0.21500000000000002,-0.68,-19.439685942035414,1196.2898732733024,32.36774078094925,1228.6576140542516,1059
TFGR,0.21500000000000002,-0.66,-19.43813282036808,1191.1190957342665,32.000743156923285,1223.1198388911898,1059
TFGR,0.21500000000000002,-0.64,-19.43657713076276,1186.0151494665054,31.634606137262658,1217.649755603768,1059
TFGR,0.21500000000000002,-0.62,-19.435018874459818,1180.978958160642,31.269385503020192,1212.2483436636621,1059
TFGR,0.21500000000000002,-0.6,-19.433458052781887,1176.011451791681,30.905138805189235,1206.9165905968703,1059
TFGR,0.21500000000000002,-0.5800000000000001,-19.431894667134582,1171.11356658817,30.54192541428523,1201.6554920024553,1059
TFGR,0.21500000000000002,-0.56,-19.43032871900708,1166.2862449995105,30.179806571200466,1196.466051570711,1059
TFGR,0.21500000000000002,-0.54,-19.428760209972804,1161.5304356614447,29.818845439360217,1191.349281100805,1059
TFGR,0.21500000000000002,-0.52,-19.427189141690032,1156.8470933596523,29.459107158209832,1186.3062005178622,1059
TFGR,0.21500000000000002,-0.5,-19.42561551590253,1152.2371789914482,29.100658898061983,1181.3378378895102,1059
TFGR,0.21500000000000002,-0.48,-19.424039334440153,1147.7016595255577,28.743569916334554,1176.4452294418923,1059
TFGR,0.21500000000000002,-0.45999999999999996,-19.422460599219495,1143.2415079599705,28.387911615209354,1171.6294195751798,1059
TFGR,0.21500000000000002,-0.43999999999999995,-19.420879312244434,1138.857703277822,28.03375760074288,1166.8914608785649,1059
TFGR,0.21500000000000002,-0.42,-19.41929547560678,1134.5512304012652,27.681183743460544,1162.2324141447257,1059
TFGR,0.21500000000000002,-0.39999999999999997,-19.417709091486813,1130.3230801434015,27.330268240466136,1157.6533483838678,1059
TFGR,0.21500000000000002,-0.37999999999999995,-19.416120162153895,1126.1742491581422,26.98109167909917,1153.1553408372413,1059
TFGR,0.21500000000000002,-0.36,-19.414528689967028,1122.1057398880243,26.633737102172695,1148.739476990197,1059
TFGR,0.21500000000000002,-0.33999999999999997,-19.412934677375393,1118.1185605100277,26.288290074825003,1144.4068505848527,1059
TFGR,0.21500000000000002,-0.31999999999999995,-19.411338126918917,1114.213724879252,25.944838753018796,1140.1585636322707,1059
TFGR,0.21500000000000002,-0.29999999999999993,-19.409739041228818,1110.3922524705263,25.603473953722126,1135.9957264242485,1059
TFGR,0.21500000000000002,-0.2799999999999999,-19.408137423028105,1106.6551683179491,25.264289226805698,1131.9194575447548,1059
TFGR,0.21500000000000002,-0.2599999999999999,-19.40653327513213,1103.0035029522305,24.92738092869146,1127.930883880922,1059
TFGR,0.21500000000000002,-0.24,-19.40492660044905,1099.4382923359735,24.592848297787963,1124.0311406337614,1059
TFGR,0.21500000000000002,-0.21999999999999997,-19.40331740198036,1095.960577796748,24.260793531748487,1120.2213713284966,1059
TFGR,0.21500000000000002,-0.2,-19.401705682821362,1092.5714059580637,23.931321866588025,1116.5027278246516,1059
TFGR,0.22,-0.8,-19.445972499910752,1212.831043782685,32.7662255778164,1245.5972693605013,1059
TFGR,0.22,-0.78,-19.444452623775753,1207.5909561383787,32.41435035539866,1240.0053064937774,1059
TFGR,0.22,-0.76,-19.442930168915346,1202.4107473712788,32.063131850133665,1234.4738792214125,1059
TFGR,0.22,-0.74,-19.44140513582616,1197.291281999901,31.712616303982887,1229.003898303884,1059
TFGR,0.22,-0.72,-19.43987752508146,1192.23343095717,31.3628514350166,1223.5962823921866,1059
TFGR,0.22,-0.7000000000000001,-19.43834733733183,1187.2380715737863,31.013886479158078,1218.2519580529445,1059
