time_utc,et,L_km,L_m,L_AU
1986-01-24 03:34:00,-439806304.8154153,2677065504.361566,2677065504361.566,17.895077595924406
1986-01-24 03:35:00,-439806244.8154153,2677067022.2836647,2677067022283.6646,17.89508774260692
1986-01-24 03:36:00,-439806184.8154153,2677068540.224769,2677068540224.769,17.89509788941648
1986-01-24 03:37:00,-439806124.8154153,2677070058.1849146,2677070058184.9146,17.89510803635332
1986-01-24 03:38:00,-439806064.8154153,2677071576.164133,2677071576164.1333,17.895118183417654
1986-01-24 03:39:00,-439806004.8154153,2677073094.1624603,2677073094162.4604,17.895128330609726
1986-01-24 03:40:00,-439805944.8154153,2677074612.179929,2677074612179.9287,17.895138477929745
1986-01-24 03:41:00,-439805884.8154153,2677076130.2165756,2677076130216.5757,17.895148625377967
1986-01-24 03:42:00,-439805824.8154153,2677077648.272431,2677077648272.4307,17.895158772954588
1986-01-24 03:43:00,-439805764.8154153,2677079166.347534,2677079166347.534,17.895168920659874
1986-01-24 03:44:00,-439805704.8154153,2677080684.4419165,2677080684441.9165,17.89517906849403
1986-01-24 03:45:00,-439805644.8154153,2677082202.5556126,2677082202555.613,17.895189216457297
1986-01-24 03:46:00,-439805584.8154153,2677083720.6886578,2677083720688.6577,17.8951993645499
1986-01-24 03:47:00,-439805524.8154153,2677085238.8410883,2677085238841.0884,17.895209512772087
1986-01-24 03:48:00,-439805464.8154153,2677086757.012938,2677086757012.938,17.89521966112408
1986-01-24 03:49:00,-439805404.8154153,2677088275.2042403,2677088275204.24,17.89522980960611
1986-01-24 03:50:00,-439805344.8154153,2677089793.415033,2677089793415.0327,17.895239958218422
1986-01-24 03:51:00,-439805284.8154153,2677091311.64535,2677091311645.35,17.89525010696125
1986-01-24 03:52:00,-439805224.8154153,2677092829.8952265,2677092829895.2266,17.895260255834824
1986-01-24 03:53:00,-439805164.8154153,2677094348.1646976,2677094348164.6978,17.895270404839376
1986-01-24 03:54:00,-439805104.8154153,2677095866.453801,2677095866453.8013,17.895280553975166
1986-01-24 03:55:00,-439805044.8154153,2677097384.76257,2677097384762.57,17.89529070324241
1986-01-24 03:56:00,-439804984.8154153,2677098903.091041,2677098903091.041,17.895300852641356
1986-01-24 03:57:00,-439804924.8154153,2677100421.4392495,2677100421439.2495,17.895311002172235
1986-01-24 03:58:00,-439804864.8154153,2677101939.807232,2677101939807.232,17.895321151835297
1986-01-24 03:59:00,-439804804.8154153,2677103458.1950235,2677103458195.0234,17.895331301630776
1986-01-24 04:00:00,-439804744.8154153,2677104976.6026626,2677104976602.6626,17.895341451558927
1986-01-24 04:01:00,-439804684.8154153,2677106495.0301824,2677106495030.182,17.89535160161997
1986-01-24 04:02:00,-439804624.8154153,2677108013.477621,2677108013477.621,17.895361751814168
1986-01-24 04:03:00,-439804564.8154153,2677109531.945014,2677109531945.014,17.895371902141747
1986-01-24 04:04:00,-439804504.8154153,2677111050.4323983,2677111050432.3984,17.89538205260296
1986-01-24 04:05:00,-439804444.8154153,2677112568.9398108,2677112568939.8105,17.895392203198057
1986-01-24 04:06:00,-439804384.8154153,2677114087.467287,2677114087467.287,17.89540235392727
1986-01-24 04:07:00,-439804324.8154153,2677115606.014865,2677115606014.8647,17.89541250479085
1986-01-24 04:08:00,-439804264.8154153,2677117124.582582,2677117124582.582,17.89542265578906
1986-01-24 04:09:00,-439804204.8154153,2677118643.170473,2677118643170.473,17.89543280692212
1986-01-24 04:10:00,-439804144.8154153,2677120161.778577,2677120161778.5767,17.895442958190294
1986-01-24 04:11:00,-439804084.8154153,2677121680.406931,2677121680406.931,17.895453109593834
1986-01-24 04:12:00,-439804024.8154153,2677123199.055571,2677123199055.5713,17.895463261132978
1986-01-24 04:13:00,-439803964.8154153,2677124717.724536,2677124717724.536,17.89547341280798
