z,delta_mu_fit,delta_D_over_D,D_L_TFGR_Mpc,D_L_eff_Mpc,H_TFGR_km_s_Mpc,H_eff_km_s_Mpc,Omega_extra
0.8872180451127819,-0.34031506157678826,-0.14505734078640864,8782.833830791355,7508.819310727854,57.15333183282864,96.28763901230306,1.2254706299939107
0.8909774436090225,-0.34313081612975077,-0.146165228948836,8837.604807426544,7545.854277389709,57.15333183303131,96.67824178661708,1.24085287659898
0.894736842105263,-0.34595222725538755,-0.14727390275052032,8892.552060644091,7582.911213260854,57.153331833232784,97.0735304508244,1.256483056030105
0.8984962406015037,-0.3487792241325508,-0.1483833276241011,8947.618823409004,7619.9413680795315,57.15333183343391,97.4686029192784,1.2721684113006846
0.9022556390977443,-0.3516117363944244,-0.14949346932774465,9002.863356625618,7656.99407956003,57.15333183363451,97.86837791510013,1.2881053175606771
0.9060150375939849,-0.3544496941280217,-0.15060429394408892,9058.225905520254,7694.01818863332,57.15333183383434,98.26794200088347,1.3040989970164516
0.9097744360902256,-0.35729302787361916,-0.1517157678791491,9113.767718735933,7731.06545101571,57.15333183403301,98.67222538618809,1.320347902639104
0.9135338345864661,-0.3601416686241315,-0.1528278578611868,9169.42605376029,7768.082312147549,57.15333183423125,99.07630316955395,1.3366552061207377
0.9172932330827067,-0.36299554782442356,-0.1539405309395423,9225.26514697503,7805.12293219164,57.153331834428826,99.48511715314214,1.353221468407772
0.9210526315789473,-0.3658545973705684,-0.15505375448343273,9281.219268129109,7842.131374421713,57.15333183462572,99.89373086510467,1.3698477808879848
0.9248120300751879,-0.36871874960904777,-0.15616749618071657,9337.35564134291,7879.1641898855,57.153331834821536,100.30709780048902,1.3867368427215598
0.9285714285714285,-0.37158793733589945,-0.15728172403662577,9393.605548626707,7916.163073018684,57.153331835016814,100.72026981658534,1.4036876351188177
0.9323308270676691,-0.3744620937958114,-0.1583964063724661,9450.039201839574,7953.186952189258,57.15333183521125,101.13821219558062,1.4209050257658205
0.9360902255639098,-0.3773411526811676,-0.15951151182428913,9506.584895253089,7990.175166325317,57.1533318354051,101.55596502955427,1.4381858557543103
0.9398496240601504,-0.3802250481310433,-0.16062700934153407,9563.315828465013,8027.189007550122,57.153331835597996,101.97850547606173,1.4557371916777904
0.9436090225563909,-0.38311371473015204,-0.16174286818564132,9620.157308008245,8064.165472613934,57.15333183579024,102.400861773442,1.4733537044921676
0.9473684210526315,-0.38600708750775115,-0.16285905792864186,9677.185521219228,8101.168203832771,57.153331835981405,102.82802303705324,1.4912446901540708
0.9511278195488722,-0.388905101936497,-0.16397554845171736,9734.322786892179,8138.131869105484,57.153331836172114,103.25500556882498,1.509202619396423
0.9548872180451127,-0.3918076939312633,-0.1650923099437389,9791.64828010222,8175.1224473835055,57.153331836362064,103.6868105183494,1.52743904805526
0.9586466165413533,-0.39471479984791447,-0.16620931289978036,9849.081331904887,8212.072291034921,57.15333183655122,104.11844217456196,1.545744216497687
0.9624060150375939,-0.3976263564820412,-0.1673265281196098,9906.704105113986,8249.049702096976,57.153331836738985,104.55491379166031,1.5643319710083912
0.9661654135338346,-0.4005423010676555,-0.1684439267061585,9964.432943046366,8285.984730719432,57.15333183692647,104.99121757491105,1.5829902913878526
