z,mu_SN,mu_err,mu_model,residual
0.41865,22.38625,0.1152,22.457353272521072,-0.0711032725210714
0.53578,22.98355,0.1266,23.100691417962917,-0.117141417962916
0.73501,24.09175,0.17825,23.940444258542843,0.1513057414571577
0.60987,23.5447,0.14865,23.44288974168474,0.10181025831525758
0.70198,23.8387,0.16475,23.817439053770666,0.021260946229332944
0.9833,24.78095,0.143,24.72372840390985,0.05722159609015165
0.75905,24.0557,0.15165,24.02668995685705,0.02901004314295008
0.64364,23.6045,0.2013,23.586065878637708,0.01843412136229361
0.51559,23.02365,0.1762,22.999761979136085,0.023888020863914505
0.80569,24.0139,0.1301,24.18678141690383,-0.17288141690383085
0.8007,23.82255,0.1606,24.170085776068998,-0.3475357760689981
0.71565,23.84395,0.19425,23.869003177913054,-0.025053177913054725
0.76668,24.2307,0.1806,24.05351627681789,0.1771837231821074
0.90173,24.5128,0.1511,24.489987540034665,0.02281245996533343
0.71868,23.68915,0.15095,23.880305264803408,-0.19115526480340606
0.5796,23.1779,0.1197,23.308059971484322,-0.13015997148432135
0.96074,24.80925,0.14255,24.661042287051185,0.14820771294881396
0.64864,23.53665,0.159,23.606658944111157,-0.0700089441111551
0.93675,24.4717,0.1405,24.592776898135664,-0.1210768981356658
0.46156,22.76265,0.11115,22.710419193735543,0.05223080626445764
0.67065,23.78495,0.1775,23.69555862954679,0.08939137045320678
0.24649,21.16055,0.10805,21.118113332097696,0.04243666790230449
0.63822,23.49005,0.184,23.563571375770234,-0.07352137577023399
0.53532,23.06945,0.11085,23.098431618476308,-0.028981618476308313
0.77307,24.17605,0.17625,24.075786297707875,0.10026370229212489
0.3705,22.15255,0.1043,22.14320987583307,0.00934012416693264
0.69916,23.88895,0.1728,23.806682844394995,0.08226715560500608
0.3735,22.11185,0.1039,22.163849069970535,-0.051999069970534606
0.85298,24.3052,0.1508,24.34022092611907,-0.035020926119070594
0.60326,23.58805,0.1429,23.413992773404782,0.17405722659521672
0.53433,22.9223,0.1289,23.093561956435114,-0.17126195643511366
0.40048,22.2601,0.1151,22.342912180343223,-0.0828121803432218
0.3715,22.20135,0.10745,22.15010649692847,0.05124350307153236
0.83999,24.0253,0.15175,24.298909801673563,-0.27360980167356175
0.53278,23.059,0.11385,23.085921022676654,-0.026921022676653195
0.93225,24.704,0.21015,24.579781148270282,0.1242188517297187
0.55381,23.2838,0.1242,23.18786815293249,0.0959318470675079
0.84214,24.3261,0.1858,24.30578986757042,0.020310132429578687
0.72767,23.8687,0.19785,23.91357267229237,-0.04487267229237091
0.44255,22.67285,0.1137,22.601107113595294,0.0717428864047065
0.28251,21.5746,0.1073,21.457298946977286,0.11730105302271454
0.51961,23.03865,0.109,23.020147953529747,0.01850204647025322
1.0608,24.6873,0.16415,24.92876438150424,-0.24146438150424032
0.26849,21.24725,0.1051,21.330266014243282,-0.08301601424328098
0.2505,21.1763,0.1114,21.158043865675115,0.018256134324886375
0.69816,23.7924,0.2171,23.802858655232708,-0.01045865523270706
0.73012,23.7684,0.19115,23.92257073406928,-0.15417073406927884
0.99781,24.6122,0.0953,24.76330305469853,-0.15110305469852747
0.40946,22.451,0.10895,22.40005561714486,0.050944382855139025
0.12679,19.5429,0.11965,19.515999024749267,0.026900975250732984
