z,mu_SN,mu_err,mu_model_best,residual
0.48057,22.7752,0.1151,22.811223317707586,-0.03602331770758482
0.5806,23.36785,0.1608,23.30609951294975,0.06175048705025077
0.80569,24.09575,0.1555,24.175940916262434,-0.0801909162624348
0.66464,23.6337,0.1611,23.66336087627719,-0.029660876277187498
0.74566,24.00735,0.1527,23.969235068444476,0.0381149315555227
0.73669,23.77845,0.1399,23.936980318289862,-0.15853031828986275
0.37053,22.04575,0.11295,22.14140993995383,-0.09565993995382982
0.85073,24.31865,0.1304,24.321475110525952,-0.0028251105259506915
0.21946,20.8469,0.1023,20.83368655808283,0.013213441917169888
0.64764,23.6259,0.1613,23.594685440094487,0.03121455990551425
0.6006,23.4022,0.15455,23.39535339443904,0.006846605560959063
0.7607,23.92525,0.14995,24.022489236246976,-0.09723923624697761
0.47057,22.804,0.1221,22.75657692533889,0.047423074661107734
0.49737,22.9275,0.13225,22.900692216059525,0.02680778394047323
0.50736,22.9705,0.1253,22.95256894329941,0.01793105670058992
0.58728,23.44375,0.14055,23.336228122079568,0.10752187792043344
0.69915,23.77905,0.15635,23.79777657052513,-0.018726570525128494
0.76108,24.05415,0.16035,24.023821597998612,0.030328402001387644
0.78805,24.1069,0.13815,24.116784308868205,-0.009884308868205238
0.40547,22.564,0.11045,22.372026029226042,0.19197397077395806
0.80804,24.55735,0.16345,24.183727057142086,0.37362294285791364
0.58328,23.6081,0.12955,23.318226034523363,0.28987396547663735
0.72013,24.0226,0.19335,23.876430779385885,0.14616922061411586
0.83699,24.3054,0.1427,24.277886547393145,0.027513452606854116
0.80603,24.2544,0.1837,24.177068780406834,0.07733121959316591
0.50074,23.0505,0.13595,22.918299859223254,0.1322001407767459
0.53378,22.9345,0.1665,23.085303784683717,-0.1508037846837169
0.82212,24.1676,0.18525,24.22992344140762,-0.062323441407620805
0.12531,19.4684,0.10355,19.491948344947588,-0.023548344947588618
0.44368,22.57415,0.1349,22.60410299630631,-0.029952996306310098
0.68366,23.9441,0.2905,23.73824399529377,0.20585600470622722
0.72668,23.90005,0.1628,23.900537986391257,-0.00048798639125635646
0.40455,22.44625,0.1075,22.366192756302652,0.08005724369734679
0.69065,23.7527,0.18375,23.765266260060194,-0.012566260060193457
0.57661,23.2437,0.1229,23.28794755662814,-0.044247556628139506
0.72068,23.87645,0.2029,23.878463108766496,-0.002013108766497851
0.55031,23.16815,0.1249,23.165260416292554,0.002889583707446519
0.84797,24.3105,0.16975,24.312774507054655,-0.0022745070546541513
0.43544,22.36675,0.109,22.555663276838146,-0.18891327683814652
0.30158,21.64245,0.0939,21.620667906225464,0.02178209377453655
0.58073,23.52355,0.1372,23.30668895402004,0.21686104597996092
0.34593,22.11525,0.111,21.966700177351832,0.1485498226481674
0.33094,21.7829,0.10685,21.854551262539943,-0.07165126253994103
0.44956,22.78895,0.14135,22.63816242574633,0.15078757425366973
0.29172,21.47215,0.12535,21.53741320506016,-0.06526320506016248
0.46127,22.62945,0.13775,22.70477905812416,-0.07532905812416146
0.63222,23.66065,0.20445,23.530896882986276,0.12975311701372405
0.26862,21.1762,0.0993,21.331768323608465,-0.1555683236084633
0.92491,24.7416,0.1923,24.545561677506917,0.19603832249308084
0.62522,23.46015,0.1303,23.501451837672448,-0.04130183767244944
0.60825,23.3767,0.1266,23.42875385260239,-0.05205385260239126
0.57828,23.2373,0.13895,23.29555932547946,-0.05825932547945811
0.71963,23.82525,0.2057,23.874581917721578,-0.04933191772157741
0.7666,24.24705,0.1593,24.043104033532835,0.20394596646716678
0.36791,22.24455,0.1019,22.12331907201176,0.12123092798823976
0.84852,24.33175,0.14855,24.314510517354236,0.01723948264576336
0.7766,24.0942,0.17835,24.077697878914073,0.016502121085927968
0.58375,23.2686,0.09915,23.320347294224725,-0.05174729422472524
0.58873,23.30085,0.13005,23.342725378817747,-0.04187537881774617
