z,mu_SN,mu_err,mu_TFGR,delta_mu_data,delta_mu_model
0.16448,20.03175,0.1083,40.00977284953064,-0.1717559956374366,-0.0606887764505238
0.16018,19.92285,0.11045,39.94411087759855,-0.2149940237053407,-0.05853381985862812
0.24488,20.86815,0.1298,41.019032924382245,-0.34461607048903886,-0.10334583466638605
0.24805,20.98175,0.13435,41.05266331566206,-0.26464646176885154,-0.10509992073459347
0.27511,21.37075,0.15505,41.32395264353813,-0.14693578964492104,-0.12023555939814297
0.33015,21.9321,0.1589,41.81185833313036,-0.07349147923715549,-0.1517293145327128
0.3307,21.82885,0.1481,41.81640031669991,-0.18128346280670726,-0.15204774814367303
0.1604,19.98615,0.10955,39.947470327325306,-0.15505347343210119,-0.0586436840071605
0.21861,20.87005,0.13435,40.726566620477676,-0.050249766584471445,-0.08898913401784148
0.12005,19.36835,0.1021,39.24158840253646,-0.06697154864325228,-0.03929530973395936
0.17818,20.72835,0.1286,40.20878639039868,0.32583046349452616,-0.06765636776785158
0.279,21.50115,0.13265,41.36125821837674,-0.05384136448353516,-0.12243306918030883
0.18562,20.48365,0.1298,40.311314566611344,-0.021397712718137285,-0.07150069207484744
0.06641,17.9881,0.1134,37.84741759930163,-0.053050745408423694,-0.016954494539071104
0.25769,21.2775,0.14285,41.15210623718933,-0.06833938329612366,-0.11045980220436885
0.27946,21.2773,0.1398,41.3655709885291,-0.28200413463589413,-0.12269325799292284
0.2655,21.0609,0.1301,41.23037239166173,-0.3632055377685255,-0.11482896191135258
0.18478,20.37525,0.1056,40.29989639648434,-0.11837954259113559,-0.07106464259194908
0.05715,17.65695,0.1072,37.49997406383613,-0.0367572099429232,-0.013649804542282155
0.32601,21.6733,0.1464,41.777669584079526,-0.2981027301863186,-0.14933437994868795
0.10902,19.1721,0.10285,39.00982406883174,-0.03145721493853415,-0.034333528350977076
0.20299,20.7001,0.1382,40.537476686098245,-0.031109832205039822,-0.08062484900068624
0.37949,22.13745,0.1395,42.19338639412008,-0.2496695402268756,-0.18050400711614117
