time,Bx,By,Bz,B_total
2019-03-06 19:34:12+00:00,-145365600.0,-17405210.8,623111.57,146405216.07641274
2019-03-06 19:34:13+00:00,-145365600.0,-17405242.0,623111.2,146405219.78401634
2019-03-06 19:34:14+00:00,-145365600.0,-17405272.8,623110.82,146405223.44403023
2019-03-06 19:34:15+00:00,-145365600.0,-17405304.0,623110.45,146405227.15164685
2019-03-06 19:34:16+00:00,-145365600.0,-17405334.8,623110.07,146405230.8116736
2019-03-06 19:34:17+00:00,-145365600.0,-17405366.0,623109.7,146405234.5193033
2019-03-06 19:34:18+00:00,-145365600.0,-17405396.8,623109.32,146405238.1793429
2019-03-06 19:34:19+00:00,-145365600.0,-17405428.0,623108.95,146405241.88698557
2019-03-06 19:34:20+00:00,-145365600.0,-17405458.8,623108.57,146405245.54703805
2019-03-06 19:34:21+00:00,-145365600.0,-17405490.0,623108.2,146405249.25469375
2019-03-06 19:34:22+00:00,-145365600.0,-17405520.8,623107.82,146405252.9147591
2019-03-06 19:34:23+00:00,-145365600.0,-17405552.0,623107.45,146405256.62242782
2019-03-06 19:34:24+00:00,-145365600.0,-17405582.8,623107.07,146405260.28250605
2019-03-06 19:34:25+00:00,-145365600.0,-17405614.0,623106.7,146405263.9901878
2019-03-06 19:34:26+00:00,-145365600.0,-17405644.8,623106.32,146405267.65027887
2019-03-06 19:34:27+00:00,-145365600.0,-17405676.0,623105.95,146405271.35797366
2019-03-06 19:34:28+00:00,-145365600.0,-17405706.8,623105.57,146405275.01807758
2019-03-06 19:34:29+00:00,-145365600.0,-17405738.0,623105.2,146405278.7257854
2019-03-06 19:34:30+00:00,-145365600.0,-17405768.8,623104.82,146405282.3859022
2019-03-06 19:34:31+00:00,-145365600.0,-17405800.0,623104.46,146405286.0936656
2019-03-06 19:34:32+00:00,-145365600.0,-17405830.8,623104.09,146405289.7538378
2019-03-06 19:34:33+00:00,-145365600.0,-17405862.0,623103.72,146405293.46157166
2019-03-06 19:34:34+00:00,-145365600.0,-17405892.8,623103.34,146405297.12171417
2019-03-06 19:34:35+00:00,-145365600.0,-17405924.0,623102.97,146405300.8294611
2019-03-06 19:34:36+00:00,-145365600.0,-17405954.8,623102.6,146405304.489659
2019-03-06 19:34:37+00:00,-145365609.6,-17405986.0,623102.24,146405317.7292864
2019-03-06 19:34:38+00:00,-145365616.0,-17406017.2,623101.86,146405327.79155985
2019-03-06 19:34:39+00:00,-145365616.0,-17406048.0,623101.49,146405331.4517767
2019-03-06 19:34:40+00:00,-145365616.0,-17406079.2,623101.11,146405335.15951326
2019-03-06 19:34:41+00:00,-145365616.0,-17406110.0,623100.74,146405338.81974298
2019-03-06 19:34:42+00:00,-145365616.0,-17406141.2,623100.36,146405342.52749258
2019-03-06 19:34:43+00:00,-145365616.0,-17406172.0,623099.99,146405346.18773517
2019-03-06 19:34:44+00:00,-145365616.0,-17406203.2,623099.61,146405349.89549777
2019-03-06 19:34:45+00:00,-145365616.0,-17406234.0,623099.24,146405353.5557532
2019-03-06 19:34:46+00:00,-145365616.0,-17406265.2,623098.86,146405357.26352885
2019-03-06 19:34:47+00:00,-145365616.0,-17406296.0,623098.49,146405360.92379716
2019-03-06 19:34:48+00:00,-145365616.0,-17406327.2,623098.11,146405364.6315858
2019-03-06 19:34:49+00:00,-145365616.0,-17406358.0,623097.74,146405368.291867
2019-03-06 19:34:50+00:00,-145365616.0,-17406389.2,623097.36,146405371.9996687
2019-03-06 19:34:51+00:00,-145365616.0,-17406420.0,623096.99,146405375.6599627
2019-03-06 19:34:52+00:00,-145365616.0,-17406451.2,623096.61,146405379.36777744
2019-03-06 19:34:53+00:00,-145365616.0,-17406482.0,623096.24,146405383.02808434
2019-03-06 19:34:54+00:00,-145365616.0,-17406513.2,623095.86,146405386.73591208
2019-03-06 19:34:55+00:00,-145365616.0,-17406544.0,623095.49,146405390.39623183
