z,H_TFGR,q_TFGR,j_TFGR,H_LCDM,q_LCDM,j_LCDM,Omega_r_TFGR,Omega_m_TFGR,Omega_TF_TFGR
1.543454317897371864e+00,1.711139131290415776e+02,3.868000829366200488e-01,1.069530777745030026e+00,1.751182500534879409e+02,3.421721654392171352e-01,1.000000000000000000e+00,7.003597856530587853e-04,9.362162530164545027e-01,6.308338719789255422e-02
1.547196495619524770e+00,1.714632234382815454e+02,3.873626132698297364e-01,1.069196165268719856e+00,1.754642296102290118e+02,3.427959244775996561e-01,1.000000000000000000e+00,7.016231437468006642e-04,9.365271555773401202e-01,6.277122127891317238e-02
1.550938673341677232e+00,1.718128739049057856e+02,3.879217290427741105e-01,1.068863599830787825e+00,1.758105438871679667e+02,3.434166056370092091e-01,1.000000000000000000e+00,7.028857636749534510e-04,9.368361621035121711e-01,6.246095213281299685e-02
1.554680851063830138e+00,1.721628639400163081e+02,3.884774541454488750e-01,1.068533067105766010e+00,1.761571924015020443e+02,3.440342263541554257e-01,1.000000000000000000e+00,7.041476491458361709e-04,9.371432858624518802e-01,6.215256648840224857e-02
1.558423028785982600e+00,1.725131929577154040e+02,3.890298122863606878e-01,1.068204552877039415e+00,1.765041746723270535e+02,3.446488039620648203e-01,1.000000000000000000e+00,7.054088038503250960e-04,9.374485400208361074e-01,6.184605117531362384e-02
1.562165206508135507e+00,1.728638603750858067e+02,3.895788269939135517e-01,1.067878043036014191e+00,1.768514902206283068e+02,3.452603556906329030e-01,1.000000000000000000e+00,7.066692314618793326e-04,9.377519376453061772e-01,6.154139312323188976e-02
1.565907384230287969e+00,1.732148656121700583e+02,3.901245216177854358e-01,1.067553523581292740e+00,1.771991385692707297e+02,3.458688986671742960e-01,1.000000000000000000e+00,7.079289356365683602e-04,9.380534917032340436e-01,6.123857936112937772e-02
1.569649561952440875e+00,1.735662080919506991e+02,3.906669193302960696e-01,1.067230980617852376e+00,1.775471192429895666e+02,3.464744499169725156e-01,1.000000000000000000e+00,7.091879200130995695e-04,9.383532150634810165e-01,6.093759701650582755e-02
1.573391739674593337e+00,1.739178872403300034e+02,3.912060431277660788e-01,1.066910400356229971e+00,1.778954317683809450e+02,3.470770263638267572e-01,1.000000000000000000e+00,7.104461882128461272e-04,9.386511204971537126e-01,6.063843331463356079e-02
1.577133917396746243e+00,1.742699024861107659e+02,3.917419158318671824e-01,1.066591769111711496e+00,1.782440756738926098e+02,3.476766448306012336e-01,1.000000000000000000e+00,7.117037438398798269e-04,9.389472206783530117e-01,6.034107557780710174e-02
1.580876095118898705e+00,1.746222532609761515e+02,3.922745600909636199e-01,1.066275073303527998e+00,1.785930504898146012e+02,3.482733220397694618e-01,1.000000000000000000e+00,7.129605904810014470e-04,9.392415281849206821e-01,6.004551122459823170e-02
