p,q,dAIC,AIC,chi2,sqrtA
0.36875,0.56,37.67642799129749,1177.4796858383343,1171.4796858383343,2.2341488645903986
0.375,0.56,37.47599721207507,1177.2792550591118,1171.2792550591118,2.228470381316563
0.38125,0.56,37.23014170005172,1177.0333995470885,1171.0333995470885,2.222918969229136
0.38749999999999996,0.56,36.94046586601962,1176.7437237130564,1170.7437237130564,2.2174919057895948
0.39375,0.56,36.60855295072588,1176.4118107977627,1170.4118107977627,2.2121865176324422
0.4,0.56,36.23596405743069,1176.0392219044675,1170.0392219044675,2.2070001801933774
0.40625,0.56,35.82423726075217,1175.627495107789,1169.627495107789,2.2019303173128635
0.4125,0.56,35.374886790022856,1175.1781446370596,1169.1781446370596,2.196974400816519
0.41874999999999996,0.56,34.88940228524666,1174.6926601322834,1168.6926601322834,2.1921299500737432
0.425,0.56,34.369248123688294,1174.172505970725,1168.172505970725,2.187394531535958
0.43125,0.56,33.815862814992215,1173.619120662029,1167.619120662029,2.182765758255857
0.4375,0.56,33.230658462699466,1173.0339163097362,1167.0339163097362,2.1782412893889904
0.44375,0.56,32.61502028992595,1172.4182781369627,1166.4182781369627,2.1738188296790146
0.44999999999999996,0.56,31.97030622697116,1171.773564074008,1165.773564074008,2.169496128927911
0.45625,0.56,31.29784655851813,1171.101104405555,1165.101104405555,2.165270981452423
0.46249999999999997,0.56,30.598943628124744,1170.4022014751615,1164.4022014751615,2.1611412255279467
0.46875,0.56,29.874871597641913,1169.6781294446787,1163.6781294446787,2.1571047428210814
0.475,0.56,29.12687625920603,1168.9301341062428,1162.9301341062428,2.1531594578119826
0.48125,0.56,28.356174897446408,1168.1594327444832,1162.1594327444832,2.1493033372076535
0.4875,0.56,27.56395619954901,1167.3672140465858,1161.3672140465858,2.145534389347265
0.49374999999999997,0.56,26.75138021085195,1166.5546380578887,1160.5546380578887,2.141850663600537
0.5,0.56,25.919578333648815,1165.7228361806856,1159.7228361806856,2.1382502497601945
0.50625,0.56,25.069653366904504,1164.8729112139413,1158.8729112139413,2.134731277429472
0.5125,0.56,24.20267958464092,1164.0059374316777,1158.0059374316777,2.1312919154055896
0.51875,0.56,23.3197028507675,1163.1229606978043,1157.1229606978043,2.1279303710600757
0.5249999999999999,0.56,22.42174076817355,1162.2249986152103,1156.2249986152103,2.124644889716814
0.53125,0.56,21.50978285997303,1161.3130407070098,1155.3130407070098,2.121433754028587
0.5375,0.56,20.584790780804042,1160.3880486278408,1154.3880486278408,2.1182952833529076
0.54375,0.56,19.647698556162595,1159.4509564031994,1153.4509564031994,2.115227833127862
0.55,0.56,18.699412847808617,1158.5026706948454,1152.5026706948454,2.1122297942486483
0.5562499999999999,0.56,17.740813243324965,1157.5440710903617,1151.5440710903617,2.1092995924454723
0.5625,0.56,16.772752567976795,1156.5760104150136,1150.5760104150136,2.106435687663406
0.56875,0.56,15.796057217089583,1155.5993150641264,1149.5993150641264,2.1036365734448017
0.575,0.56,14.811527507207984,1154.6147853542448,1148.6147853542448,2.1009007763147878
0.58125,0.56,13.819938044380706,1153.6231958914175,1147.6231958914175,2.0982268551703678
0.5874999999999999,0.56,12.822038107966819,1152.6252959550036,1146.6252959550036,2.0956134006735976
0.59375,0.56,11.818552048423498,1151.6218098954603,1145.6218098954603,2.0930590346492752
0.6,0.56,10.810179697616832,1150.6134375446536,1144.6134375446536,2.090562409487562
0.2,0.58,23.663856365776837,1163.4671142128136,1157.4671142128136,2.4653112025869413
0.20625000000000002,0.58,25.396135269054184,1165.199393116091,1159.199393116091,2.4545372632513
0.21250000000000002,0.58,27.03404537593974,1166.8373032229765,1160.8373032229765,2.4439941834005525
0.21875,0.58,28.57915261728681,1168.3824104643236,1162.3824104643236,2.4336776290048516
0.225,0.58,30.033059496510305,1169.836317343547,1163.836317343547,2.423583316686695
0.23125,0.58,31.39740206212491,1171.2006599091617,1165.2006599091617,2.4137070143997943
0.23750000000000002,0.58,32.673846912374984,1172.4771047594118,1166.4771047594118,2.4040445420588
0.24375000000000002,0.58,33.86408823836064,1173.6673460853974,1167.6673460853974,2.394591772119404
0.25,0.58,34.96984491166381,1174.7731027587006,1168.7731027587006,2.3853446301086008
0.25625,0.58,35.99285762211434,1175.7961154691511,1169.7961154691511,2.3762990951049705
0.2625,0.58,36.934886070929,1176.7381439179658,1170.7381439179658,2.3674512001690244
0.26875,0.58,37.79770622405999,1177.6009640710968,1171.6009640710968,2.3587970327238263
0.275,0.58,38.58310763019881,1178.3863654772356,1172.3863654772356,2.350332734886185
0.28125,0.58,39.292890807467984,1179.0961486545048,1173.0961486545048,2.342054503748902
0.2875,0.58,39.9288647024548,1179.7321225494916,1173.7321225494916,2.3339585916146284
0.29375,0.58,40.49284422483993,1180.2961020718767,1174.2961020718767,2.326041306182053
0.3,0.58,40.98664786048084,1180.7899057075176,1174.7899057075176,2.318299010685189
0.30625,0.58,41.41209536544852,1181.2153532124853,1175.2153532124853,2.310728123986701
