L_m,dt_tfgr
19662.866174263705,5.715723442740234e-19
20097.941408268256,5.718201717455895e-19
20542.64344121274,5.720691670639555e-19
20997.185282826562,5.723193358450478e-19
21461.784656051103,5.725706837327645e-19
21936.664101327835,5.728232163991236e-19
22422.051083194012,5.730769395444097e-19
22918.17809923653,5.733318588973244e-19
23425.282791457463,5.735879802151349e-19
23943.608060102884,5.738453092838245e-19
24473.40218001077,5.741038519182455e-19
25014.918919533226,5.7436361396227e-19
25568.417662090185,5.746246012889436e-19
26134.163530412174,5.748868198006395e-19
26712.427513533185,5.751502754292137e-19
27303.486596592476,5.754149741361602e-19
27907.623893508964,5.75680921912768e-19
28525.12878259129,5.759481247802789e-19
29156.29704514792,5.762165887900454e-19
29801.431007165364,5.76486320023691e-19
30460.83968412016,5.767573245932692e-19
31134.838928995632,5.770296086414262e-19
31823.751583573776,5.7730317834156215e-19
32527.907633074115,5.77578039897994e-19
33247.64436421552,5.778541995461198e-19
33983.30652677408,5.781316635525843e-19
34735.24649871642,5.784104382154437e-19
35503.82445498686,5.786905298643333e-19
36289.40854002859,5.789719448606342e-19
37092.37504412361,5.792546895976437e-19
37913.10858363304,5.795387705007437e-19
38752.00228522629,5.798241940275717e-19
39609.457974186706,5.801109666681927e-19
40485.886366882856,5.803990949452712e-19
41381.70726750034,5.806885854142459e-19
42297.349769124914,5.809794446635034e-19
43233.252459275835,5.812716793145543e-19
44189.86362998671,5.815652960222094e-19
45167.64149253505,5.81860301474758e-19
46167.05439692209,5.821567023941461e-19
47188.58105621087,5.82454505536156e-19
48232.7107758263,5.827537176905878e-19
49299.94368792988,5.830543456814404e-19
50390.79099098032,5.833563963670946e-19
51505.775194593865,5.83659876640497e-19
52645.43036982462,5.839647934293448e-19
53810.30240498076,5.842711536962722e-19
55000.94926710206,5.845789644390372e-19
56217.941269223185,5.8488823269071e-19
57461.86134354941,5.851989655198616e-19
58733.305320679225,5.855111700307551e-19
60032.882215002835,5.858248533635365e-19
61361.214516416825,5.861400226944274e-19
62718.9384884935,5.864566852359189e-19
64106.704473246486,5.867748482369659e-19
65525.17720264233,5.870945189831839e-19
66975.03611700232,5.874157047970451e-19
68456.97569045078,5.877384130380771e-19
69971.70576356445,5.880626511030623e-19
71519.95188338093,5.88388426426238e-19
73102.45565093329,5.887157464794991e-19
74719.97507647157,5.890446187725993e-19
76373.28494254562,5.893750508533566e-19
78063.17717512154,5.897070503078583e-19
79790.46122290999,5.90040624760666e-19
81555.9644450862,5.903757818750254e-19
83360.5325075922,5.907125293530734e-19
85205.02978820475,5.910508749360489e-19
87090.33979056755,5.9139082640450425e-19
89017.36556738496,5.9173239157851665e-19
90987.03015297743,5.920755783179035e-19
93000.27700541198,5.924203945224357e-19
95058.07045841172,5.927668481320554e-19
97161.39618326655,5.931149471270923e-19
99311.26166096446,5.934646995284831e-19
101508.69666476757,5.938161133979915e-19
103754.75375347001,5.941691968384289e-19
106050.50877556598,5.945239579938782e-19
108397.06138457543,5.948804050499164e-19
110795.53556577225,5.952385462338407e-19
113247.08017456497,5.955983898148952e-19
115752.8694867946,5.95959944104498e-19
118314.10376120433,5.963232174564709e-19
120932.00981435695,5.9668821826727e-19
123607.84160827355,5.970549549762176e-19
126342.88085107207,5.974234360657351e-19
129138.43761090121,5.977936700615783e-19
131995.85094345358,5.98165665533073e-19
134916.4895333662,5.985394310933526e-19
137901.7523498126,5.989149753995967e-19
140953.06931660158,5.992923071532714e-19
144071.90199710042,5.99671435100371e-19
147259.74429431852,6.00052368031661e-19
150518.1231664764,6.004351147829227e-19
153848.59935841034,6.008196842351988e-19
157252.76814916087,6.012060853150414e-19
160732.26011609982,6.015943269947599e-19
164288.7419159714,6.019844182926722e-19
167923.91708320857,6.0237636827335595e-19
171639.526845917,6.027701860479018e-19
175437.35095991415,6.031658807741687e-19
179319.20856121916,6.035634616570395e-19
183286.9590374129,6.039629379486788e-19
187342.50291827114,6.043643189487927e-19
191487.7827861082,6.047676140048895e-19
195724.7842062635,6.051728325125417e-19
200055.5366781728,6.055799839156499e-19
204482.11460749162,6.059890777067093e-19
209006.63829972054,6.0640012342707495e-19
213631.27497582015,6.0681313066723285e-19
218358.23981029834,6.072281090670677e-19
223189.79699226277,6.076450683161361e-19
228128.26080995973,6.080640181539398e-19
233175.9967593014,6.084849683702006e-19
238335.4226769259,6.089079288051378e-19
243609.00989832703,6.093329093497448e-19
248999.28444161091,6.097599199460713e-19
254508.82821744023,6.10188970587503e-19
260140.28026576055,6.106200713190465e-19
265896.3380198815,6.110532322376132e-19
271779.7585985329,6.114884634923068e-19
277793.3601265098,6.119257752847113e-19
283940.0230845337,6.123651778691811e-19
290222.69168899336,6.128066815531334e-19
296644.3753022026,6.13250296697341e-19
303208.14987386914,6.136960337162284e-19
309917.1594144582,6.141439030781685e-19
316774.6175011501,6.1459391530578175e-19
323783.8088171333,6.150460809762365e-19
330948.09072494355,6.15500410721552e-19
338270.89487462287,6.159569152289022e-19
345755.72884746135,6.164156052409221e-19
353406.17783610313,6.16876491556015e-19
361225.90636184154,6.173395850286639e-19
369218.6600298983,6.178048965697413e-19
377388.26732354803,6.182724371468239e-19
385738.64143794205,6.187422177845073e-19
394273.7821544995,6.192142495647235e-19
402997.7777567896,6.1968854362706e-19
411914.8069887897,6.201651111690807e-19
421029.14105648134,6.206439634466502e-19
430345.1456737333,6.211251117742558e-19
439867.2831534557,6.216085675253375e-19
449600.11454501486,6.22094342132615e-19
459548.3018189606,6.225824470884188e-19
469716.61010007653,6.230728939450237e-19
480109.90994984924,6.235656943149825e-19
490733.1796994414,6.2406085987146375e-19
