L_m,Delta_t,Phi_t,dPhi_dL
873918102.2415409,1.0659760683190365e-18,1.0962715034210967e-10,-1.108591188732421e-19
893255065.6050618,1.0687045607383266e-18,1.0752849835255208e-10,-1.063455529847241e-19
913019893.0340594,1.0714473235295102e-18,1.0547073925912007e-10,-1.0201640972708938e-19
933222051.7677876,1.074204435875585e-18,1.0345306328075011e-10,-9.786412786192849e-20
953871218.5246886,1.0769759774245064e-18,1.0147467690475959e-10,-9.388145717178207e-20
974977284.1374906,1.0797620282920207e-18,9.953480255586886e-11,-9.006144562695468e-20
996550358.2908636,1.0825626690645166e-18,9.763267827203048e-11,-8.639742708339121e-20
1018600774.363884,1.0853779808018933e-18,9.576755738692664e-11,-8.288300948959993e-20
1041139094.3796889,1.0882080450404481e-18,9.393870821899001e-11,-7.951206358149231e-20
1064176114.064608,1.0910529437957784e-18,9.21454137668206e-11,-7.627871204488055e-20
1087722868.0192597,1.0939127595657053e-18,9.038697141086056e-11,-7.317731912626301e-20
1111790635.0040643,1.096787575333213e-18,8.866269262119833e-11,-7.020248067328468e-20
1136390943.3416903,1.099677474569403e-18,8.697190267137684e-11,-6.734901458705019e-20
1161535576.4390807,1.102582541236477e-18,8.531394035807712e-11,-6.461195166920958e-20
1187236578.4316182,1.1055028597907253e-18,8.368815772656079e-11,-6.198652684747458e-20
1213506259.9522038,1.1084385151855417e-18,8.209391980174803e-11,-5.94681707638263e-20
1240357204.0279832,1.1113895928744537e-18,8.053060432481541e-11,-5.705250171042893e-20
1267802272.1075258,1.114356178814173e-18,7.899760149520116e-11,-5.473531789879916e-20
1295854610.221414,1.1173383594676633e-18,7.749431371790073e-11,-5.251259004844611e-20
1324527655.2790966,1.120336221807229e-18,7.602015535594969e-11,-5.03804542817213e-20
1353835141.505098,1.1233498533176189e-18,7.457455248798123e-11,-4.833520531220925e-20
1383791107.0176315,1.1263793419991531e-18,7.315694267075595e-11,-4.637328991448052e-20
1414409900.552784,1.1294247763708678e-18,7.176677470655956e-11,-4.44913006635648e-20
1445706188.3374553,1.1324862454736765e-18,7.040350841536976e-11,-4.268596993296283e-20
1477694961.1144323,1.1355638388735568e-18,6.906661441168952e-11,-4.0954164140493675e-20
1510391541.3228445,1.1386576466647498e-18,6.775557388595546e-11,-3.9292878231709356e-20
1543811590.437531,1.1417677594729849e-18,6.646987839042276e-11,-3.769923039105219e-20
1577971116.4708052,1.1448942684587201e-18,6.520902962943509e-11,-3.617045697130729e-20
1612886481.640173,1.1480372653204034e-18,6.397253925399054e-11,-3.470390763232829e-20
1648574410.2057817,1.151196842297757e-18,6.275992866051053e-11,-3.329704068036913e-20
1685051996.4812176,1.1543730921750785e-18,6.157072879373013e-11,-3.194741859971648e-20
1722336713.021593,1.1575661082845613e-18,6.040447995362043e-11,-3.0652703768670883e-20
1760446418.9928062,1.1607759845096409e-18,5.926073160626145e-11,-2.9410654352242907e-20
1799399368.7259498,1.1640028152883533e-18,5.813904219858449e-11,-2.821912036425925e-20
1839214220.461076,1.1672466956167228e-18,5.7038978976901036e-11,-2.7076039891861473e-20
1879910045.2843568,1.1705077210521653e-18,5.5960117809144285e-11,-2.5979435475692226e-20
1921506336.263033,1.1737859877169136e-18,5.4902043010743224e-11,-2.4927410639322913e-20
1964023017.7824893,1.1770815923014624e-18,5.386434717405534e-11,-2.3918146561749786e-20
2007480455.08989,1.180394632068037e-18,5.284663100128588e-11,-2.2949898887046986e-20
2051899464.0490627,1.1837252048540831e-18,5.184850314081807e-11,-2.2020994665508792e-20
2097301321.1111455,1.187073409075774e-18,5.0869580026888344e-11,-2.1129829420834452e-20
2143707773.505896,1.190439343731546e-18,4.9909485722534406e-11,-2.0274864338160005e-20
2191141049.658495,1.1938231084056482e-18,4.896785176574959e-11,-1.9454623567934226e-20
2239623869.8368034,1.1972248032717177e-18,4.8044317018778273e-11,-1.8667691640850806e-20
2289179457.0342903,1.200644529096379e-18,4.713852752048501e-11,-1.79127109892549e-20
2339831548.093681,1.2040823872428606e-18,4.6250136341737356e-11,-1.7188379570619772e-20
2391604405.076776,1.207538479674637e-18,4.5378803443737734e-11,-1.6493448588880037e-20
2444522826.8858414,1.2110129089590917e-18,4.45241955392446e-11,-1.582672030957748e-20
2498612161.142151,1.2145057782712037e-18,4.368598595662296e-11,-1.5187045964949583e-20
2553898316.327308,1.2180171913972536e-18,4.286385450666699e-11,-1.4573323745241943e-20
2610407774.193327,1.221547252738557e-18,4.205748735213512e-11,-1.3984496872687707e-20
2668167602.447194,1.2250960673152184e-18,4.126657687994518e-11,-1.3419551754740041e-20
2727205467.7161584,1.228663740769906e-18,4.0490821575972054e-11,-1.2877516213289571e-20
2787549648.7998977,1.2322503793716531e-18,3.972992590239536e-11,-1.2357457786723996e-20
2849229050.215857,1.2358560900196805e-18,3.8983600177545344e-11,-1.1858482101832862e-20
2912273216.0444126,1.239480980247244e-18,3.825156045819326e-11,-1.137973131266844e-20
2976712344.0802784,1.243125158225504e-18,3.753352842423884e-11,-1.0920382603603676e-20
3042577300.2970805,1.2467887327674193e-18,3.6829231265743675e-11,-1.0479646753938244e-20
3109899633.6319995,1.2504718133316657e-18,3.6138401572262546e-11,-1.0056766761516385e-20
3178711591.097479,1.2541745100265729e-18,3.5460777224426284e-11,-9.651016522918174e-21
3249046133.227436,1.2578969336140984e-18,3.479610128772816e-11,-9.261699567896092e-21
3320936949.865116,1.2616391955138104e-18,3.414412190847057e-11,-8.888147845819224e-21
3394418476.300351,1.2654014078069042e-18,3.350459221182613e-11,-8.529720561977823e-21
3469525909.7638783,1.2691836832402437e-18,3.2877270201970275e-11,-8.185803061699146e-21
3546295226.286555,1.2729861352304194e-18,3.226191866424316e-11,-7.855805760299327e-21
3624763197.9317584,1.2768088778678425e-18,3.165830506929773e-11,-7.539163116982813e-21
3704967410.408936,1.2806520259208552e-18,3.1066201479195325e-11,-7.235332650881985e-21
3786946281.0769577,1.2845156948398698e-18,3.048538445540716e-11,-6.943793997497281e-21
3870739077.345832,1.2884000007615333e-18,2.991563496868301e-11,-6.6640480038757316e-21
3956385935.4855022,1.292305060512914e-18,2.935673831074951e-11,-6.39561586093152e-21
4043927879.8509855,1.2962309916157205e-18,2.8808484007798823e-11,-6.1380382713789084e-21
4133406842.532744,1.3001779122905397e-18,2.8270665735732968e-11,-5.890874651812839e-21
4224865683.441931,1.304145941461103e-18,2.7743081237126364e-11,-5.653702367528592e-21
4318348210.840039,1.308135198758581e-18,2.7225532239872004e-11,-5.426115998735061e-21
4413899202.322832,1.3121458045259005e-18,2.6717824377476286e-11,-5.207726636868725e-21
4511564426.268478,1.3161778798220898e-18,2.6219767110969626e-11,-4.998161209769537e-21
4611390663.760454,1.320231546426652e-18,2.573117365239799e-11,-4.7970618345307586e-21
4713425730.995342,1.324306926843963e-18,2.5251860889865113e-11,-4.604085196885108e-21
4817718502.186533,1.3284041443076949e-18,2.4781649314091984e-11,-4.4189019560347476e-21
4924318932.974713,1.3325233227852705e-18,2.4320362946463193e-11,-4.241196173878292e-21
5033278084.356256,1.3366645869823425e-18,2.3867829268530025e-11,-4.070664767633124e-21
5144648147.141259,1.3408280623472993e-18,2.3423879152939076e-11,-3.9070169848890855e-21
5258482466.952569,1.3450138750758009e-18,2.2988346795759215e-11,-3.749973900171654e-21
5374835569.77805,1.349222152115341e-18,2.2561069650176687e-11,-3.599267932131819e-21
5493763188.08824,1.353453021169836e-18,2.2141888361530953e-11,-3.454642380512978e-21
5615322287.531795,1.3577066107042412e-18,2.17306467036642e-11,-3.3158509820826516e-21
5739571094.221844,1.3619830499492022e-18,2.1327191516556517e-11,-3.1826574847501505e-21
5866569122.625877,1.3662824689057257e-18,2.0931372645221877e-11,-3.0548352391227656e-21
5996377204.072855,1.3706049983498818e-18,2.0543042879838102e-11,-2.9321668067834034e-21
6129057515.89109,1.3749507698375397e-18,2.0162057897086004e-11,-2.8144435846034995e-21
6264673611.190738,1.3793199157091229e-18,1.9788276202673206e-11,-2.701465444432907e-21
6403290449.305514,1.3837125690944049e-18,1.9421559075017482e-11,-2.59304038753415e-21
6544974426.907752,1.3881288639173233e-18,1.906177051006732e-11,-2.4889842131567e-21
6689793409.812048,1.3925689349008309e-18,1.8708777167235416e-11,-2.3891202006702768e-21
6837816765.48263,1.3970329175717738e-18,1.8362448316422747e-11,-2.293278804700722e-21
6989115396.25986,1.401520948265796e-18,1.8022655786111244e-11,-2.201297362734879e-21
7143761773.322225,1.4060331641322796e-18,1.7689273912502302e-11,-2.113019814682276e-21
7301829971.399493,1.4105697031393137e-18,1.7362179489681148e-11,-2.0282964339037216e-21
7463395704.254126,1.4151307040786902e-18,1.7041251720785022e-11,-1.9469835692359923e-21
7628536360.947727,1.4197163065709329e-18,1.6726372170155233e-11,-1.868943397561521e-21
7797331042.909999,1.4243266510703566e-18,1.6417424716452777e-11,-1.794043686490484e-21
7969860601.827744,1.4289618788701568e-18,1.6114295506718378e-11,-1.7221575667409406e-21
8146207678.372552,1.4336221321075333e-18,1.581687291135665e-11,-1.6531633138192082e-21
8326456741.785081,1.4383075537688397e-18,1.5525047480026827e-11,-1.5869441386190233e-21
8510694130.335374,1.4430182876947672e-18,1.523871189842068e-11,-1.5233879865739155e-21
8699008092.678429,1.4477544785855641e-18,1.4957760945909913e-11,-1.4623873450125439e-21
8891488830.12466,1.4525162720062758e-18,1.4682091454045425e-11,-1.4038390583806629e-21
9088228539.84602,1.4573038143920304e-18,1.4411602265890493e-11,-1.3476441510069435e-21
9289321459.03778,1.4621172530533477e-18,1.4146194196171822e-11,-1.2937076571043753e-21
9494863910.057636,1.4669567361814822e-18,1.3885769992231129e-11,-1.2419384577102642e-21
9704954346.563614,1.4718224128538012e-18,1.363023429576111e-11,-1.1922491242808415e-21
9919693400.672646,1.4767144330391913e-18,1.337949360531022e-11,-1.1445557686681042e-21
10139183931.163012,1.4816329476035017e-18,1.313345623953978e-11,-1.0987778992171165e-21
10363531072.742958,1.4865781083150217e-18,1.289203230121917e-11,-1.054838282733659e-21
10592842286.409657,1.4915500678499865e-18,1.2655133641943326e-11,-1.0126628120818964e-21
10827227410.922392,1.496548979798119e-18,1.2422673827558173e-11,-9.721803791812135e-22
11066798715.414732,1.5015749986682077e-18,1.2194568104279531e-11,-9.33322753181728e-22
11311670953.170769,1.506628279893716e-18,1.1970733365491474e-11,-8.960244636063418e-22
11561961416.591393,1.5117089798384277e-18,1.1751088119210198e-11,-8.602226882562262e-22
11817789993.376308,1.5168172558021181e-18,1.1535552456200366e-11,-8.258571456849399e-22
12079279223.95011,1.5219532660262786e-18,1.132404801872954e-11,-7.928699920540868e-22
12346554360.15808,1.527117169699856e-18,1.111649796994928e-11,-7.612057221916948e-22
12619743425.261189,1.5323091269650393e-18,1.091282696388907e-11,-7.308110746811338e-22
12898977275.258516,1.5375292989230778e-18,1.0712961116051039e-11,-7.016349408161416e-22
13184389661.566511,1.542777847640131e-18,1.0516827974593261e-11,-6.736282772635514e-22
13476117295.085178,1.5480549361531623e-18,1.032435649208969e-11,-6.46744022282459e-22
